Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
3.82019e+07,-0.165318,0.588673,-0.79059,-0.000148152,1.59178e-05,-2.5844e-05,0.0826588,3454.85
1.67359e+08,-0.165316,0.265344,-0.948032,-4.37887e-05,4.1484e-06,-5.9927e-05,0.082658,3454.85
5.78241e+07,-0.165311,0.731203,-0.661718,-9.44102e-05,1.88897e-05,-3.7479e-05,0.0826553,3454.85
6.57401e+07,-0.16531,0.852378,-0.495313,-9.50593e-05,3.32717e-05,-1.87988e-05,0.082655,3454.85
3.9396e+07,-0.165308,0.642689,-0.748059,-0.0001454,1.93187e-05,-2.36121e-05,0.0826542,3454.85
5.72703e+07,-0.165308,0.729727,-0.66341,-9.55469e-05,1.88629e-05,-3.72311e-05,0.0826539,3454.85
3.95254e+07,-0.165308,0.64728,-0.744094,-0.000144511,1.96334e-05,-2.35499e-05,0.0826538,3454.85
3.85206e+07,-0.165306,0.604131,-0.779172,-0.000147229,1.65951e-05,-2.54902e-05,0.0826532,3454.85
3.9725e+07,-0.165306,0.649645,-0.742039,-0.000143982,2.04991e-05,-2.29039e-05,0.0826529,3454.85
3.91202e+07,-0.165304,0.644086,-0.746843,-0.000146865,1.87538e-05,-2.37935e-05,0.0826522,3454.85
9.40528e+07,-0.165303,0.772034,-0.612277,-5.97774e-05,2.00193e-05,-4.46877e-05,0.0826515,3454.85
3.93648e+07,-0.165302,0.767488,-0.619221,-0.000152342,2.28618e-05,-1.83154e-05,0.0826512,3454.85
1.17464e+08,-0.165302,0.673468,-0.719628,-5.18753e-05,1.40929e-05,-5.25223e-05,0.0826508,3454.85
3.94413e+07,-0.1653,0.635551,-0.754083,-0.000143966,1.87373e-05,-2.44464e-05,0.0826501,3454.85
5.98866e+07,-0.1653,0.913367,-0.367836,-0.000109091,3.45372e-05,-1.19933e-05,0.0826501,3454.85
3.94323e+07,-0.1653,0.639651,-0.750648,-0.000145015,1.88258e-05,-2.41283e-05,0.0826498,3454.85
3.40759e+07,-0.165299,0.962233,-0.216288,-0.000181326,2.42001e-05,0,0.0826496,3454.85
3.94458e+07,-0.165298,0.64378,-0.74712,-0.000145107,1.93345e-05,-2.36682e-05,0.0826488,3454.85
5.77785e+07,-0.165297,0.951802,-0.249451,-0.000116601,3.53005e-05,-5.93909e-06,0.0826486,3454.85
1.04803e+08,-0.165297,0.682487,-0.711503,-5.66938e-05,1.73585e-05,-4.85573e-05,0.0826483,3454.85
3.40246e+07,-0.165296,0.961497,-0.218766,-0.000181553,2.41434e-05,-6.31875e-08,0.082648,3454.85
3.83459e+07,-0.165296,0.631586,-0.757426,-0.000143732,1.72725e-05,-2.56995e-05,0.0826479,3454.85
4.59232e+07,-0.165295,0.938602,-0.295452,-0.000140489,3.10007e-05,-7.02156e-06,0.0826477,3454.85
6.3452e+07,-0.165294,0.842089,-0.512621,-9.58886e-05,3.20443e-05,-2.08255e-05,0.0826469,3454.85
3.37883e+07,-0.165294,0.558557,-0.808851,-0.000154626,1.57824e-05,-2.4814e-05,0.0826469,3454.85
3.8504e+07,-0.165292,0.640628,-0.749419,-0.000150007,1.75056e-05,-2.42488e-05,0.082646,3454.85
1.66184e+08,-0.165292,0.167296,-0.971168,-4.41105e-05,2.90413e-07,-6.0591e-05,0.082646,3454.85
4.61814e+07,-0.165292,0.900813,-0.393675,-0.000137129,3.00005e-05,-1.12452e-05,0.082646,3454.85
5.05869e+07,-0.165292,0.768552,-0.616813,-0.000118753,2.50768e-05,-2.4832e-05,0.0826458,3454.85
1.05974e+08,-0.16529,0.642706,-0.746336,-5.55752e-05,1.63467e-05,-4.96911e-05,0.0826451,3454.85
3.94955e+07,-0.165287,0.644871,-0.746182,-0.000144814,1.93502e-05,-2.37242e-05,0.0826434,3454.85
5.22468e+07,-0.165284,0.721615,-0.671644,-0.000107276,2.14853e-05,-3.20361e-05,0.0826418,3454.85
4.64249e+07,-0.165281,0.741728,-0.649882,-0.000124336,2.45183e-05,-2.35528e-05,0.0826405,3454.85
5.11377e+07,-0.16528,0.746173,-0.644674,-0.000115252,2.38392e-05,-2.7316e-05,0.0826401,3454.85
5.00191e+07,-0.165279,0.918613,-0.358407,-0.000132369,3.20671e-05,-8.9729e-06,0.0826395,3454.85
4.05151e+07,-0.165274,0.788165,-0.592589,-0.000150726,2.49066e-05,-1.60119e-05,0.0826369,3454.85
4.9227e+07,-0.165273,0.935652,-0.299206,-0.000135248,3.18352e-05,-7.40222e-06,0.0826365,3454.85
3.80855e+07,-0.165273,0.631764,-0.757294,-0.000143688,1.69589e-05,-2.59642e-05,0.0826364,3454.85
3.94594e+07,-0.165272,0.641671,-0.748843,-0.000144065,1.91928e-05,-2.40289e-05,0.0826362,3454.85
