delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
247.253,251.704,27.2764,-0.346455,0.481513,-0.805056,-128,24,-25.3656,0.173227,4003.01,3454.85,2961.51,3454.85,3948.19,3207.59
37.1967,242.639,26.6256,-0.526883,0.482313,-0.699835,-116.634,24,-31.25,0.263441,3974.32,3454.85,2979.27,3454.85,3930.42,3417.65
100.744,245.011,26.5529,-0.440305,0.467106,-0.766774,-120,24,-28.9913,0.220153,4012.92,3454.85,2974.62,3454.85,3935.07,3354.1
51.251,240.737,26.6315,-0.549592,0.568904,-0.611798,-112,28.2041,-31.25,0.274796,3954.85,3454.85,2983,3454.85,3926.69,3403.59
71.3862,240.893,27.2546,-0.538656,0.648144,-0.538292,-107.984,32,-31.25,0.269328,3926.86,3454.85,2982.7,3454.85,3927,3383.46
137.683,242.225,26.8302,-0.454782,0.618979,-0.640342,-112,32,-27.7283,0.227391,4025.92,3454.85,2980.09,3454.85,3929.61,3317.16
96.4583,240.826,28.2739,-0.527397,0.697049,-0.485773,-104,35.0347,-31.25,0.263698,3895.11,3454.85,2982.83,3454.85,3926.86,3358.39
141.116,241.714,30.5194,-0.464935,0.781493,-0.416058,-96.9064,40,-31.25,0.232468,3831.78,3454.85,2981.09,3454.85,3928.6,3313.73
235.143,240.555,28.7659,-0.39196,0.739199,-0.547679,-104,40,-24.1974,0.19598,4078.64,3454.85,2983.36,3454.85,3926.33,3219.7
145.285,241.758,30.9345,-0.45622,0.791533,-0.40662,-96,40.4938,-31.25,0.22811,3824.92,3454.85,2981,3454.85,3928.69,3309.56
175.031,246.059,34.8189,-0.351225,0.868872,-0.348858,-88,44.444,-31.25,0.175613,3759.11,3454.85,2972.57,3454.85,3937.12,3279.81
177.68,250.924,39.4995,-0.25701,0.916085,-0.307788,-80,47.2513,-31.25,0.128505,3707.23,3454.85,2963.04,3454.85,3946.66,3277.17
173.657,251.346,41.0212,-0.225773,0.927665,-0.297429,-77.2598,48,-31.25,0.112887,3688.85,3454.85,2962.21,3454.85,3947.48,3281.19
192.986,251.906,39.7564,-0.242894,0.92265,-0.299532,-80,48,-28.5738,0.121447,3839.7,3454.85,2961.11,3454.85,3948.58,3261.86
154.563,253.554,43.3906,-0.169735,0.942822,-0.286839,-72,49.1194,-31.25,0.0848677,3661.74,3454.85,2957.88,3454.85,3951.81,3300.28
101.095,256.903,46.0157,-0.0765143,0.953078,-0.292896,-64,50.107,-31.25,0.0382572,3624.78,3454.85,2951.32,3454.85,3958.38,3353.75
395.656,271.871,28.1481,-0.470522,0.0592216,-0.880399,-148.688,0,-23.4375,0.235261,3868.67,3454.85,2921.98,3454.85,3987.71,3059.19
449.166,271.794,26.6006,-0.52927,0.0392918,-0.847543,-152,0,-21.3658,0.264635,3847.88,3454.85,2922.13,3454.85,3987.56,3005.68
399.309,254.631,28.3473,-0.411188,0.165466,-0.896407,-147.572,8,-23.4375,0.205594,3868.62,3454.85,2955.77,3454.85,3953.92,3055.54
