delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-158.032,241.679,27.1703,-0.617131,0.311749,-0.722469,-112,16.8862,-39.0625,0.308566,3757.72,3454.85,2981.16,3454.85,3928.54,3612.88
-117.937,243.835,27.9958,-0.576526,0.514694,-0.634593,-107.332,24,-39.0625,0.288263,3700.9,3454.85,2976.93,3454.85,3932.76,3572.78
-36.8332,243.215,26.341,-0.487848,0.469003,-0.736234,-112,24,-35.3386,0.243924,3842.14,3454.85,2978.15,3454.85,3931.55,3491.68
-107.123,243.592,29.1173,-0.557777,0.587252,-0.586532,-104,26.8915,-39.0625,0.278888,3674.81,3454.85,2977.41,3454.85,3932.29,3561.97
-84.7926,242.166,31.9743,-0.496318,0.704835,-0.50683,-97.841,32,-39.0625,0.248159,3616.6,3454.85,2980.2,3454.85,3929.49,3539.64
7.41285,243.076,28.885,-0.430111,0.646712,-0.629895,-104,32,-33.9033,0.215055,3843.4,3454.85,2978.42,3454.85,3931.27,3447.43
-78.9846,242.385,32.8429,-0.487078,0.723272,-0.489523,-96,33.1589,-39.0625,0.243539,3600.24,3454.85,2979.77,3454.85,3929.92,3533.83
-47.5066,244.941,36.3371,-0.410941,0.801883,-0.433718,-88,37.9716,-39.0625,0.205471,3513.66,3454.85,2974.76,3454.85,3934.93,3502.35
-36.6572,244.172,38.286,-0.358209,0.83408,-0.41952,-83.9344,40,-39.0625,0.179105,3468.26,3454.85,2976.27,3454.85,3933.42,3491.5
3.99331,243.491,36.0649,-0.373388,0.803383,-0.463851,-88,40,-35.4275,0.186694,3676.31,3454.85,2977.6,3454.85,3932.09,3450.85
-29.1236,246.497,40.1271,-0.313066,0.862463,-0.397677,-80,41.6106,-39.0625,0.156533,3426.66,3454.85,2971.71,3454.85,3937.98,3483.97
-40.8004,251.906,42.8198,-0.192996,0.904919,-0.379308,-72,43.9535,-39.0625,0.096498,3348.19,3454.85,2961.11,3454.85,3948.58,3495.65
-91.0632,256.253,44.8073,-0.0620196,0.922861,-0.380106,-64,45.1396,-39.0625,0.0310098,3282.67,3454.85,2952.59,3454.85,3957.1,3545.91
-17.2278,246.536,47.4083,-0.0724846,0.926597,-0.369005,-64,48,-32.2401,0.0362423,3654.71,3454.85,2971.63,3454.85,3938.06,3472.07
315.982,271.667,28.7211,-0.630623,0.0704155,-0.772889,-144,0,-23.9514,0.315311,3944.88,3454.85,2922.38,3454.85,3987.31,3138.86
133.833,258.689,27.8881,-0.504023,0.168719,-0.847051,-133.41,0,-31.25,0.252012,3903.95,3454.85,2947.82,3454.85,3961.88,3321.01
182.963,261.863,28.5055,-0.539887,0.154466,-0.827443,-136,0,-29.8277,0.269943,3906.94,3454.85,2941.59,3454.85,3968.1,3271.88
100.886,245.271,28.3191,-0.44504,0.187764,-0.875605,-130.489,8,-31.25,0.22252,3932.63,3454.85,2974.12,3454.85,3935.58,3353.96
204.262,251.573,28.9299,-0.498238,0.175326,-0.849129,-136,8,-28.4276,0.249119,3932.38,3454.85,2961.76,3454.85,3947.93,3250.58
105.161,246.571,27.1025,-0.423985,0.246224,-0.871556,-128,13.2267,-31.25,0.211993,3929.24,3454.85,2971.57,3454.85,3938.12,3349.69
273.871,258.675,26.9536,-0.490953,0.305557,-0.815843,-136,16,-26.349,0.245477,3933.1,3454.85,2947.84,3454.85,3961.85,3180.98
100.294,247.074,26.7357,-0.427215,0.275742,-0.861077,-126.424,16,-31.25,0.213607,3931.89,3454.85,2970.58,3454.85,3939.11,3354.55
131.586,248.855,26.7242,-0.424847,0.281262,-0.860463,-128,16,-30.517,0.212424,3932.17,3454.85,2967.09,3454.85,3942.6,3323.26
98.841,246.466,25.589,-0.407352,0.438374,-0.801182,-120,23.3338,-31.25,0.203676,3928.37,3454.85,2971.77,3454.85,3937.92,3356
253.513,255.751,25.5436,-0.425624,0.504777,-0.751029,-128,24,-26.9726,0.212812,3943.68,3454.85,2953.57,3454.85,3956.12,3201.33
98.5968,246.642,25.6362,-0.407854,0.454365,-0.791964,-119.418,24,-31.25,0.203927,3927.48,3454.85,2971.43,3454.85,3938.26,3356.25
109.994,247.009,25.576,-0.403885,0.454676,-0.793818,-120,24,-30.9476,0.201943,3930.44,3454.85,2970.71,3454.85,3938.98,3344.85
83.9285,244.043,26.9328,-0.403893,0.573158,-0.712994,-112,29.3859,-31.25,0.201946,3927.47,3454.85,2976.52,3454.85,3933.17,3370.92
