delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
430.766,219.805,21.4967,-0.839658,0.00501633,-0.540838,-151.548,2.5,-10.1188,0.419829,4049.55,3454.85,3024.03,3454.85,3885.66,3024.08
448.039,221.277,20.6918,-0.839577,-0.0101832,-0.540684,-152.708,2.5,-8.36762,0.419789,4047.67,3454.85,3021.14,3454.85,3888.55,3006.81
402.63,220.509,21.9151,-0.839514,-0.000886681,-0.541947,-150.191,0,-12.4073,0.419757,4055.82,3454.85,3022.65,3454.85,3887.04,3052.22
443.861,220.298,21.0533,-0.839457,-0.000320638,-0.540847,-152.322,3,-8.90901,0.419729,4047.39,3454.85,3023.06,3454.85,3886.63,3010.99
435.69,219.6,21.4255,-0.839333,0.00691432,-0.541167,-151.774,3,-9.74158,0.419666,4048.21,3454.85,3024.43,3454.85,3885.26,3019.16
452.843,221.905,20.3357,-0.839305,-0.0204727,-0.541336,-153.139,2,-7.8125,0.419653,4047.17,3454.85,3019.91,3454.85,3889.78,3002
407.553,220.304,21.8438,-0.839188,0.00101131,-0.542276,-150.417,0.5,-12.0301,0.419594,4054.48,3454.85,3023.05,3454.85,3886.64,3047.29
444.791,220.374,20.9913,-0.839127,-0.00105024,-0.541333,-152.386,3,-8.82293,0.419564,4047.14,3454.85,3022.91,3454.85,3886.78,3010.05
449.358,221.284,20.6152,-0.839067,-0.0112019,-0.541496,-152.799,2.5,-8.2566,0.419533,4047.16,3454.85,3021.13,3454.85,3888.56,3005.49
440.613,219.395,21.3544,-0.839007,0.00881231,-0.541496,-152,3.5,-9.36432,0.419504,4046.87,3454.85,3024.83,3454.85,3884.86,3014.23
412.477,220.099,21.7725,-0.838862,0.00290931,-0.542605,-150.643,1,-11.6528,0.419431,4053.14,3454.85,3023.45,3454.85,3886.24,3042.37
445.721,220.449,20.9293,-0.838797,-0.00177984,-0.54182,-152.45,3,-8.73686,0.419399,4046.89,3454.85,3022.77,3454.85,3886.93,3009.12
441.543,219.47,21.2924,-0.838677,0.00808272,-0.541983,-152.064,3.5,-9.27825,0.419339,4046.62,3454.85,3024.68,3454.85,3885.01,3013.3
450.677,221.291,20.5387,-0.838557,-0.0122207,-0.542308,-152.891,2.5,-8.14557,0.419278,4046.66,3454.85,3021.12,3454.85,3888.58,3004.17
417.4,219.894,21.7013,-0.838536,0.0048073,-0.542934,-150.87,1.5,-11.2756,0.419268,4051.8,3454.85,3023.85,3454.85,3885.84,3037.45
446.652,220.525,20.8673,-0.838468,-0.00250944,-0.542307,-152.515,3,-8.65079,0.419234,4046.64,3454.85,3022.62,3454.85,3887.08,3008.19
442.474,219.546,21.2303,-0.838347,0.00735312,-0.542469,-152.129,3.5,-9.19217,0.419174,4046.37,3454.85,3024.54,3454.85,3885.16,3012.37
456.85,224.586,19.8807,-0.838271,-0.0464659,-0.540937,-153.668,0.5,-6.83594,0.419136,4043.95,3454.85,3014.66,3454.85,3895.03,2998
422.323,219.689,21.6302,-0.838211,0.0067053,-0.543263,-151.096,2,-10.8983,0.419105,4050.46,3454.85,3024.26,3454.85,3885.44,3032.52
447.582,220.601,20.8054,-0.838138,-0.00323904,-0.542793,-152.579,3,-8.56472,0.419069,4046.39,3454.85,3022.47,3454.85,3887.22,3007.26
451.997,221.297,20.4623,-0.838046,-0.0132394,-0.54312,-152.983,2.5,-8.03455,0.419023,4046.15,3454.85,3021.1,3454.85,3888.59,3002.85
443.404,219.622,21.1682,-0.838017,0.00662352,-0.542956,-152.193,3.5,-9.1061,0.419009,4046.12,3454.85,3024.39,3454.85,3885.3,3011.44
427.247,219.484,21.5591,-0.837885,0.00860329,-0.543592,-151.322,2.5,-10.521,0.418942,4049.12,3454.85,3024.66,3454.85,3885.03,3027.6
448.512,220.676,20.7435,-0.837808,-0.00396864,-0.54328,-152.643,3,-8.47864,0.418904,4046.15,3454.85,3022.32,3454.85,3887.37,3006.33
399.11,220.188,21.9772,-0.83774,0.00270028,-0.5447,-149.965,0,-12.8095,0.41887,4055.4,3454.85,3023.28,3454.85,3886.41,3055.74
444.334,219.697,21.1062,-0.837688,0.00589392,-0.543442,-152.257,3.5,-9.02003,0.418844,4045.87,3454.85,3024.24,3454.85,3885.45,3010.51
455.743,222.948,20.0929,-0.837648,-0.0308714,-0.54284,-153.417,1.5,-7.32422,0.418824,4044.55,3454.85,3017.87,3454.85,3891.82,2999.1
432.17,219.279,21.4881,-0.837559,0.0105013,-0.543921,-151.548,3,-10.1438,0.41878,4047.78,3454.85,3025.06,3454.85,3884.63,3022.68
453.316,221.304,20.3859,-0.837536,-0.0142581,-0.543932,-153.075,2.5,-7.92352,0.418768,4045.65,3454.85,3021.09,3454.85,3888.6,3001.53
404.033,219.983,21.9061,-0.837414,0.00459828,-0.545029,-150.191,0.5,-12.4323,0.418707,4054.05,3454.85,3023.68,3454.85,3886.01,3050.81
445.264,219.773,21.0441,-0.837358,0.00516432,-0.543929,-152.322,3.5,-8.93396,0.418679,4045.62,3454.85,3024.09,3454.85,3885.6,3009.58
449.831,220.683,20.6668,-0.837298,-0.00498737,-0.544092,-152.735,3,-8.36762,0.418649,4045.64,3454.85,3022.31,3454.85,3887.38,3005.01
437.093,219.074,21.4172,-0.837233,0.0123993,-0.544249,-151.774,3.5,-9.76653,0.418617,4046.44,3454.85,3025.46,3454.85,3884.23,3017.75
408.957,219.778,21.8349,-0.837089,0.00649627,-0.545358,-150.417,1,-12.055,0.418544,4052.71,3454.85,3024.08,3454.85,3885.61,3045.89
446.194,219.848,20.9821,-0.837028,0.00443472,-0.544416,-152.386,3.5,-8.84788,0.418514,4045.37,3454.85,3023.94,3454.85,3885.75,3008.65
454.635,221.311,20.3096,-0.837026,-0.0152769,-0.544743,-153.167,2.5,-7.8125,0.418513,4045.14,3454.85,3021.08,3454.85,3888.61,3000.21
442.016,218.869,21.3464,-0.836908,0.0142973,-0.544578,-152,4,-9.38927,0.418454,4045.09,3454.85,3025.86,3454.85,3883.83,3012.83
