delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-356.908,194.52,25.9784,-0.428079,0.508813,-0.746899,-96,21.7873,-46.875,0.214039,3360.78,3454.85,3073.59,3454.85,3836.11,3811.75
-172.951,192.056,25.9276,-0.411009,0.53367,-0.739099,-104,24,-41.2758,0.205505,3611.27,3454.85,3078.42,3454.85,3831.28,3627.8
-361.881,198.012,27.2691,-0.396328,0.561876,-0.726099,-93.4996,24,-46.875,0.198164,3336.01,3454.85,3066.74,3454.85,3842.95,3816.73
-317.608,193.727,26.5152,-0.400715,0.534809,-0.743913,-96,24,-45.5141,0.200358,3413.8,3454.85,3075.14,3454.85,3834.55,3772.45
-379.784,205.809,29.1097,-0.341844,0.629448,-0.69781,-88,27.1813,-46.875,0.170922,3287.91,3454.85,3051.46,3454.85,3858.23,3834.63
-432.766,212.735,33.3199,-0.303638,0.713594,-0.631338,-80,30.5216,-46.875,0.151819,3221.01,3454.85,3037.89,3454.85,3871.81,3887.61
-122.745,192.123,29.271,-0.342362,0.621482,-0.704662,-96,32,-39.1902,0.171181,3624.47,3454.85,3078.28,3454.85,3831.41,3577.59
-261.806,203.424,29.7398,-0.269146,0.655453,-0.70565,-88,32,-42.5141,0.134573,3467.99,3454.85,3056.13,3454.85,3853.56,3716.65
-440.061,212.358,36.329,-0.30189,0.738278,-0.603166,-76.7894,32,-46.875,0.150945,3181.98,3454.85,3038.62,3454.85,3871.07,3894.91
-398.798,212.875,33.5899,-0.279148,0.715223,-0.640728,-80,32,-45.2596,0.139574,3300.74,3454.85,3037.61,3454.85,3872.08,3853.64
-453.678,209.497,40.8116,-0.296007,0.769617,-0.565747,-72,33.6989,-46.875,0.148003,3126.21,3454.85,3044.23,3454.85,3865.46,3908.52
-442.229,201.37,47.988,-0.229719,0.813902,-0.53366,-64,36.598,-46.875,0.114859,3007,3454.85,3060.16,3454.85,3849.53,3897.08
-453.089,197.657,53.4619,-0.119235,0.845604,-0.520323,-56,38.3463,-46.875,0.0596174,2891.92,3454.85,3067.44,3454.85,3842.25,3907.93
-352.997,192.986,49.263,-0.179481,0.816091,-0.549347,-64,40,-41.7468,0.0897405,3278.98,3454.85,3076.59,3454.85,3833.1,3807.84
-416.503,192.485,54.8033,-0.107611,0.841903,-0.52879,-56,40,-44.1231,0.0538055,3050.18,3454.85,3077.57,3454.85,3832.12,3871.35
-1.9051,206.778,23.8363,-0.551428,0.3495,-0.757481,-125.156,0,-39.0625,0.275714,3695.23,3454.85,3049.56,3454.85,3860.13,3456.75
51.0936,206.718,23.8123,-0.554103,0.372627,-0.744392,-128,0,-37.0445,0.277052,3745.96,3454.85,3049.68,3454.85,3860.01,3403.75
-74.294,195.676,24.9163,-0.569427,0.328049,-0.753748,-120.502,8,-39.0625,0.284714,3734.56,3454.85,3071.32,3454.85,3838.37,3529.14
59.3454,196.762,24.293,-0.550524,0.399209,-0.733182,-128,8,-33.1088,0.275262,3895.63,3454.85,3069.19,3454.85,3840.5,3395.5
-76.021,194.92,25.1146,-0.572633,0.330181,-0.750381,-120,8.80018,-39.0625,0.286317,3734.28,3454.85,3072.8,3454.85,3836.89,3530.87
-92.7205,190.311,25.416,-0.536789,0.404013,-0.740696,-115.635,16,-39.0625,0.268395,3725.94,3454.85,3081.84,3454.85,3827.86,3547.57
-12.9834,188.81,26.5475,-0.585473,0.388596,-0.711487,-120,16,-35.6532,0.292737,3835.06,3454.85,3084.78,3454.85,3824.91,3467.83
-84.1633,191.095,25.8502,-0.47896,0.489044,-0.728995,-112,20.4647,-39.0625,0.23948,3703.9,3454.85,3080.3,3454.85,3829.39,3539.01
-103.103,190.581,26.5187,-0.439674,0.53218,-0.723513,-107.981,24,-39.0625,0.219837,3693.93,3454.85,3081.31,3454.85,3828.38,3557.95
-26.645,190.175,27.0194,-0.467668,0.537449,-0.701737,-112,24,-36.8178,0.233834,3766.11,3454.85,3082.1,3454.85,3827.59,3481.49
-116.039,191.241,27.1577,-0.404714,0.567401,-0.717121,-104,26.5953,-39.0625,0.202357,3681.15,3454.85,3080.01,3454.85,3829.68,3570.88
-119.199,192.059,29.2959,-0.343727,0.621849,-0.703672,-96.2287,32,-39.0625,0.171864,3629.99,3454.85,3078.41,3454.85,3831.28,3574.04
12.8807,190.919,30.0081,-0.397668,0.640205,-0.657266,-104,32,-34.6225,0.198834,3804.66,3454.85,3080.64,3454.85,3829.05,3441.97
-119.143,192.044,29.3393,-0.342308,0.623211,-0.703159,-96,32.1269,-39.0625,0.171154,3628.43,3454.85,3078.44,3454.85,3831.25,3573.99
-151.759,197.699,31.1342,-0.241106,0.693953,-0.678452,-88,35.5601,-39.0625,0.120553,3583.11,3454.85,3067.36,3454.85,3842.34,3606.61
