x,y,z,temp,G,R
89.0,9.140395,-48.0,3454.8464,68396453.34040773,0.01542034568864673
90.0,9.0,-47.981426,3454.8464,67826543.70277932,0.01773920038813647
91.0,9.0,-47.943573,3454.8464,67255113.23212627,0.02009619153900139
92.0,9.0,-47.900955,3454.8464,66685201.680749975,0.022461921379831377
93.0,9.0,-47.85355,3454.8464,66116814.611297816,0.024836629893464385
94.0,9.0,-47.80132,3454.8464,65549959.111788645,0.027220557510200645
95.0,9.0,-47.744244,3454.8464,64984643.77367598,0.029613944687402492
96.0,9.0,-47.68228,3454.8464,64420878.66633153,0.032017031490339576
97.0,9.0,-47.615406,3454.8464,63858675.308052495,0.034430057175853304
98.0,9.0,-47.543587,3454.8464,63298046.633694254,0.03685325978059622
99.0,9.0,-47.46679,3454.8464,62739006.959040284,0.03928687571543349
100.0,9.0,-47.384975,3454.8464,62181571.942037836,0.04173113936764579
101.0,9.0,-47.298115,3454.8464,61625758.541024834,0.04418628271256825
102.0,9.0,-47.206173,3454.8464,61071584.97008743,0.04665253493621922
103.0,9.0,-47.109116,3454.8464,60519070.651693545,0.04913012207048501
104.0,9.0,-47.006905,3454.8464,59968236.16675706,0.05161926664224657
83.0,10.126695,-48.0,3454.8464,71845363.35438228,0.0016938660661831736
84.83155,10.0,-48.0,3454.8464,70783222.25833242,0.005891902961479614
84.0,10.075892,-48.0,3454.8464,71264304.051327,0.00398710055488765
85.0,10.0,-47.99826,3454.8464,70685380.02279145,0.006281317896683432
86.0,10.0,-47.983376,3454.8464,70106244.61230887,0.008599961056080109
87.0,10.0,-47.963837,3454.8464,69528636.39981678,0.0109261607030458
88.0,10.0,-47.939625,3454.8464,68952553.29532717,0.01326014560569498
89.0,10.0,-47.910713,3454.8464,68377994.77591082,0.015602146952863003
90.0,10.0,-47.877075,3454.8464,67804961.88260153,0.017952397953641508
91.0,10.0,-47.83869,3454.8464,67233457.21339053,0.02031113343051917
92.0,10.0,-47.79553,3454.8464,66663484.91237147,0.022678589407599356
93.0,10.0,-47.74756,3454.8464,66095050.655091256,0.025055002695433197
94.0,10.0,-47.69476,3454.8464,65528161.6301758,0.027440610474050574
95.0,10.0,-47.637093,3454.8464,64962826.51731281,0.02983564987582598
96.0,10.0,-47.57453,3454.8464,64399055.46167263,0.0322403575698008
97.0,10.0,-47.507046,3454.8464,63836860.044870965,0.03465496934907895
98.0,10.0,-47.434597,3454.8464,63276253.25257532,0.03707971972301062
99.0,10.0,-47.35716,3454.8464,62717249.43887329,0.03951484151575494
100.0,10.0,-47.274696,3454.8464,62159864.2875204,0.04196056547286766
101.0,10.0,-47.187172,3454.8464,61604114.77020088,0.04441711987747791
102.0,10.0,-47.094555,3454.8464,61050019.10193948,0.04688473017767936
83.0,11.0,-47.902122,3454.8464,71825627.46471599,0.0018878285557019083
84.0,11.0,-47.896004,3454.8464,71243248.46744753,0.004194113856406076
85.0,11.0,-47.88526,3454.8464,70662416.5079116,0.006507265819769277
86.0,11.0,-47.869865,3454.8464,70083129.30974999,0.008827866945229997
87.0,11.0,-47.849804,3454.8464,69505383.2895126,0.011156020015302331
88.0,11.0,-47.825047,3454.8464,68929176.5461629,0.013491950770860775
89.0,11.0,-47.795578,3454.8464,68354508.7329271,0.01583588727492228
90.0,11.0,-47.761368,3454.8464,67781381.05400527,0.01818805951437582
91.0,11.0,-47.722397,3454.8464,67209796.25740081,0.020548698995609085
92.0,11.0,-47.678627,3454.8464,66639758.62391297,0.022918038335500775
93.0,11.0,-47.630043,3454.8464,66071273.95235866,0.025296310849315475
94.0,11.0,-47.576607,3454.8464,65504349.541091494,0.027683750137078404
95.0,11.0,-47.51829,3454.8464,64938994.16589135,0.03008058967004955
96.0,11.0,-47.455067,3454.8464,64375218.05432108,0.03248706237891443
97.0,11.0,-47.386898,3454.8464,63813032.85664171,0.03490340024533431
98.0,11.0,-47.313763,3454.8464,63252451.613393396,0.03732983389850508
99.0,11.0,-47.235615,3454.8464,62693488.71976094,0.03976659221835651
100.0,11.0,-47.15243,3454.8464,62136159.88683632,0.04221390194693528
101.0,11.0,-47.064175,3454.8464,61580482.09992249,0.044671987309670515
83.0,12.0,-47.778965,3454.8464,71801163.01300909,0.0021312162195491705
84.0,12.0,-47.772327,3454.8464,71218590.92828332,0.004439604919846934
85.0,12.0,-47.761044,3454.8464,70637580.3671453,0.006754895573257053
86.0,12.0,-47.745094,3454.8464,70058129.55968726,0.009077615813188195
87.0,12.0,-47.724457,3454.8464,69480235.16745614,0.01140788234232273
88.0,12.0,-47.69911,3454.8464,68903895.49434575,0.013745917591234514
89.0,12.0,-47.66903,3454.8464,68329110.38453478,0.0160919462061793
90.0,12.0,-47.634193,3454.8464,67755881.21899037,0.018446194653314995
91.0,12.0,-47.594574,3454.8464,67184210.90811695,0.020808890817076264
92.0,12.0,-47.550144,3454.8464,66614103.88058554,0.023180263594252924
93.0,12.0,-47.500877,3454.8464,66045566.06841986,0.025560542485276328
94.0,12.0,-47.446747,3454.8464,65478604.88839232,0.027949957184271727
95.0,12.0,-47.387722,3454.8464,64913229.21982406,0.03034873716953587
96.0,12.0,-47.32377,3454.8464,64349449.3788663,0.03275711129602468
97.0,12.0,-47.25486,3454.8464,63787277.0893694,0.03517530739142209
98.0,12.0,-47.18096,3454.8464,63226725.45043701,0.03760355185753786
99.0,12.0,-47.102043,3454.8464,62667808.9007869,0.040042069278581054
100.0,12.0,-47.018074,3454.8464,62110543.18004226,0.04249108203784163
82.0,13.0,-47.647114,3454.8464,72359304.96902546,9.236032072662006e-05
83.0,13.0,-47.644566,3454.8464,71774940.11186361,0.002396022338068133
84.0,13.0,-47.637363,3454.8464,71192156.56929302,0.004706583626825281
85.0,13.0,-47.625492,3454.8464,70610955.12895682,0.007024254403685424
86.0,13.0,-47.608936,3454.8464,70031329.57916656,0.009349248176127329
87.0,13.0,-47.587673,3454.8464,69453276.91923174,0.011681781295097414
88.0,13.0,-47.56168,3454.8464,68876795.67342499,0.01402207259948986
89.0,13.0,-47.530937,3454.8464,68301885.89115249,0.016370343029989052
90.0,13.0,-47.49542,3454.8464,67728549.14324117,0.01872681523600255
91.0,13.0,-47.455097,3454.8464,67156788.51438811,0.021091713177114238
92.0,13.0,-47.40995,3454.8464,66586608.59182087,0.023465261720538935
93.0,13.0,-47.359947,3454.8464,66018015.45023022,0.02584768623614761
94.0,13.0,-47.30506,3454.8464,65451016.633046,0.028239212190592205
95.0,13.0,-47.245262,3454.8464,64885621.13013431,0.03064006474213225
96.0,13.0,-47.18052,3454.8464,64321839.35200393,0.03305046833779979
97.0,13.0,-47.1108,3454.8464,63759683.1006248,0.03547064631449324
98.0,13.0,-47.03608,3454.8464,63199165.53695778,0.03790082050557904
82.0,14.0,-47.50192,3454.8464,72331629.7786053,0.00037622419923745746
83.0,14.0,-47.49878,3454.8464,71747036.27582508,0.002682379809242885
84.0,14.0,-47.490967,3454.8464,71164034.66055629,0.004995298700843585
85.0,14.0,-47.478466,3454.8464,70582630.64178403,0.007315394854918104
86.0,14.0,-47.461258,3454.8464,70002819.95248933,0.009642809336597006
87.0,14.0,-47.439316,3454.8464,69424599.8432884,0.011977754749283422
88.0,14.0,-47.41263,3454.8464,68847969.07371321,0.014320446060774403
89.0,14.0,-47.38117,3454.8464,68272927.91211715,0.01667110021974938
90.0,14.0,-47.344913,3454.8464,67699478.13173318,0.01902993576569313
91.0,14.0,-47.303837,3454.8464,67127623.00291288,0.0213971724337214
92.0,14.0,-47.25791,3454.8464,66557367.28160407,0.02377303075577073
93.0,14.0,-47.20711,3454.8464,65988717.19412682,0.026157731659686954
94.0,14.0,-47.15141,3454.8464,65421680.41831663,0.028551496067788555
95.0,14.0,-47.090775,3454.8464,64856266.06111589,0.030954544496450485
96.0,14.0,-47.025177,3454.8464,64292484.63270434,0.033367096658364626
82.0,15.0,-47.345238,3454.8464,72302395.45533101,0.0006815033785652605
83.0,15.0,-47.34147,3454.8464,71717553.55061185,0.00299020339195163
84.0,15.0,-47.333,3454.8464,71134320.23930527,0.005305712678980079
85.0,15.0,-47.319817,3454.8464,70552702.84830332,0.007628375049800705
86.0,15.0,-47.301907,3454.8464,69972697.40254894,0.009958349682445914
87.0,15.0,-47.279243,3454.8464,69394301.41937426,0.012295845162412227
88.0,15.0,-47.25181,3454.8464,68817513.90784213,0.014641072309204136
89.0,15.0,-47.219578,3454.8464,68242335.36838248,0.016994243795753997
90.0,15.0,-47.18253,3454.8464,67668767.78860222,0.019355573761632282
91.0,15.0,-47.140636,3454.8464,67096814.635306105,0.02172527742154793
92.0,15.0,-47.093876,3454.8464,66526480.84277781,0.024103570670612008
93.0,15.0,-47.04222,3454.8464,65957772.797394894,0.026490669687852967
82.0,16.0,-47.17691,3454.8464,72271691.24202652,0.0010082839840738697
83.0,16.0,-47.172462,3454.8464,71686590.35265231,0.003319662380497038
84.0,16.0,-47.163296,3454.8464,71103114.25673793,0.005637897565822935
